feature,n_subject_pairs,rest_mean,workload_mean,mean_difference_workload_minus_rest,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,cohens_dz,abs_cohens_dz,paired_t_q_fdr,wilcoxon_q_fdr
stat_Cz_var,36,129.2230834133551,100.81775774635497,-28.405325667000152,-4.937680379281824,1.9363034715068247e-05,74.0,1.2062606401741505e-05,-0.8229467298802801,0.8229467298802801,0.0006636806123360422,0.00021578662563115358
hjorth_Cz_activity,36,129.2230834133551,100.81775774635497,-28.405325667000152,-4.937680379281824,1.9363034715068247e-05,74.0,1.2062606401741505e-05,-0.8229467298802801,0.8229467298802801,0.0006636806123360422,0.00021578662563115358
band_abs_C4_beta,36,12.973640360477388,10.482382086764524,-2.4912582737128646,-4.924222194662288,2.0165103924462187e-05,55.0,1.636421075090766e-06,-0.8207036991101109,0.8207036991101109,0.0006636806123360422,8.782126436320443e-05
band_abs_C3_alpha,36,32.547510905792016,20.55978019281081,-11.987730712981211,-4.919345150363554,2.046382814168448e-05,54.0,1.458160113543272e-06,-0.8198908583938695,0.8198908583938695,0.0006636806123360422,8.782126436320443e-05
band_abs_F4_alpha,36,26.667454740758647,17.55943709929412,-9.108017641464533,-4.916965095813493,2.0611199140870874e-05,37.0,1.6696867533028126e-07,-0.8194941826355084,0.8194941826355084,0.0006636806123360422,4.480326121362547e-05
stat_Pz_ptp,36,73.37472219346859,62.65437979662565,-10.720342396842932,-4.875703652011975,2.334003089970073e-05,84.0,3.049665247090161e-05,-0.8126172753352675,0.8126172753352675,0.0007226432643945804,0.00036102654763346757
ratio_O1_beta_alpha,36,0.4226453558750017,0.7003739510990287,0.277728595224027,4.848790445527956,2.5310001367708416e-05,72.0,9.92763671092689e-06,0.8081317409189746,0.8081317409189746,0.0007232876922757951,0.0002049505243586853
band_rel_Fz_alpha,36,0.2391634201556981,0.18323855530610053,-0.055924864849597605,-4.844565892017387,2.5633847699410412e-05,73.0,1.0947667760774493e-05,-0.8074276486579071,0.8074276486579071,0.0007232876922757951,0.0002049505243586853
region_frontal_band_rel_mean_alpha,36,0.2154451466355234,0.15516116713674646,-0.06028397949877692,-4.839133508688897,2.605632680248206e-05,78.0,1.763927866704762e-05,-0.806522251437359,0.806522251437359,0.0007232876922757951,0.0002730696024417949
region_parietal_band_rel_mean_gamma,36,0.01115245267878242,0.015860888270541284,0.004708435591758865,4.818242742188161,2.774628886608948e-05,65.0,4.886940587311983e-06,0.8030404568943987,0.8030404568943987,0.0007445254179067344,0.00015130719895331332
band_abs_C3_beta,36,12.608080062763108,9.958994678759515,-2.649085384003595,-4.805454892846402,2.883388794071862e-05,31.0,6.912159733474255e-08,-0.8009091488074915,0.8009091488074915,0.0007487509610412416,2.7821442927233875e-05
stat_P3_std,36,11.35440076841583,9.947984933894306,-1.4064158345215259,-4.787164167643136,3.04632782310634e-05,69.0,7.36583024263382e-06,-0.7978606946067365,0.7978606946067365,0.0007577647102366041,0.00019280483898268466
stat_P3_rms,36,11.365592036526317,9.960281925408347,-1.4053101111179673,-4.780668080597858,3.106364650659371e-05,70.0,8.143309969455004e-06,-0.7967780134325244,0.7967780134325244,0.0007577647102366041,0.00019280483898268466
global_band_rel_std_theta,36,0.04891445496904302,0.05517426994042033,0.006259814971377316,4.749627008641603,3.4098157114560705e-05,88.0,4.331755917519331e-05,0.7916045013401622,0.7916045013401622,0.0008073240140359225,0.00043683509568512524
region_occipital_band_rel_mean_gamma,36,0.012599061547190904,0.018577078970371957,0.005978017423181054,4.681862230189186,4.1779415769698815e-05,54.0,1.458160113543272e-06,0.7803103715963436,0.7803103715963436,0.0009609265627030727,8.782126436320443e-05
stat_C4_ptp,36,63.71870636827565,56.99366549253481,-6.72504087574085,-4.670971369310855,4.316425878305743e-05,81.0,2.3269385565072298e-05,-0.7784952282183857,0.7784952282183857,0.0009652007866767008,0.0003286290417523368
stat_O2_skew,36,0.13009165160909608,0.028232870182228205,-0.10185878142686787,-4.659223901433836,4.470892299506197e-05,57.0,2.0539737306535244e-06,-0.7765373168997193,0.7765373168997193,0.000972721162460132,9.185826962089373e-05
ratio_T6_beta_alpha,36,0.5197766897696567,0.7518174037841225,0.23204071401446574,4.638373123888532,4.758627426972045e-05,84.0,3.049665247090161e-05,0.7730621873121798,0.7730621873121798,0.0010080776522927621,0.00036102654763346757
stat_C4_std,36,10.692641845920459,9.6151955720646,-1.0774462738558608,-4.590444588914158,5.491225469371268e-05,82.0,2.5482935598120093e-05,-0.7650740981518163,0.7650740981518163,0.001133445257139454,0.0003362911992866668
stat_C4_rms,36,10.703903394363998,9.62612199860191,-1.0777813957620879,-4.578326642367248,5.693441054994908e-05,82.0,2.5482935598120093e-05,-0.7630544403940008,0.7630544403940008,0.001138074889228724,0.0003362911992866668
global_band_rel_std_beta,36,0.04869820352615045,0.055670068741193214,0.006971865215042752,4.5723186617195815,5.7964062681214524e-05,81.0,2.3269385565072298e-05,0.7620531102033012,0.7620531102033012,0.001138074889228724,0.0003286290417523368
stat_C3_ptp,36,62.10109118656331,55.94887249274815,-6.152218693815162,-4.545289162097567,6.282839056772892e-05,104.0,0.00015944891492836177,-0.7575481936828345,0.7575481936828345,0.001194597543441439,0.000965085537724295
stat_Pz_std,36,12.31949857427586,10.606007809113533,-1.7134907651623235,-4.5362975373168615,6.453417477111925e-05,96.0,8.471510955132544e-05,-0.7560495895524767,0.7560495895524767,0.001194597543441439,0.0006557275306617017
band_abs_O1_theta,36,13.00051997713831,9.984038909251801,-3.016481067886511,-4.53236356425625,6.52947725607743e-05,98.0,9.956923895515501e-05,-0.7553939273758523,0.7553939273758523,0.001194597543441439,0.0006969846726860851
stat_Pz_rms,36,12.332172864012106,10.620545029795574,-1.7116278342165296,-4.517153443047251,6.831959259468515e-05,96.0,8.471510955132544e-05,-0.7528589071742107,0.7528589071742107,0.0012221616008604788,0.0006557275306617017
hemisphere_midline_band_rel_mean_gamma,36,0.012400136830995263,0.016192252201421474,0.0037921153704262114,4.501952354574979,7.148058818948736e-05,72.0,9.92763671092689e-06,0.7503253922807003,0.7503253922807003,0.0012464514458683234,0.0002049505243586853
band_rel_O1_gamma,36,0.01335790377444727,0.02012164143679092,0.006763737662343642,4.495921797910928,7.277418379603875e-05,55.0,1.636421075090766e-06,0.7493202995688077,0.7493202995688077,0.0012464514458683234,8.782126436320443e-05
band_rel_F3_alpha,36,0.2409569023604837,0.18427152822448215,-0.056685374136001596,-4.487473581676931,7.462527402316413e-05,99.0,0.00010785146150738001,-0.7479122636029539,0.7479122636029539,0.001251528033096815,0.0007295834160793354
band_rel_Fp1_alpha,36,0.19987364526098436,0.13141717125788377,-0.0684564740031006,-4.453375078118068,8.257994798453078e-05,95.0,7.807108340784907e-05,-0.742229179678297,0.742229179678297,0.0013566705740315772,0.0006348204256900859
band_abs_C4_alpha,36,32.823407615063815,22.173303528437046,-10.650104086626762,-4.434387618411903,8.736563474824363e-05,43.0,3.769237082451582e-07,-0.7390646030685992,0.7390646030685992,0.0013753348042896832,5.057059752289206e-05
hjorth_Fz_complexity,36,2.473356347151004,2.7744092897086503,0.3010529425576466,4.430271880160605,8.843845628748206e-05,91.0,5.596954724751413e-05,0.7383786466916232,0.7383786466916232,0.0013753348042896832,0.0004951152256510865
band_rel_A2A1_gamma,36,0.03138596907386233,0.047469632629416246,0.016083663555553917,4.428738336900907,8.88415028857932e-05,102.0,0.0001365947537124157,0.7381230561162767,0.7381230561162767,0.0013753348042896832,0.0008590529432694893
hemisphere_midline_band_rel_mean_alpha,36,0.28699918550663983,0.22082575975189025,-0.06617342575474959,-4.421599188958679,9.074175073445396e-05,79.0,1.935995533131063e-05,-0.7369331981515729,0.7369331981515729,0.0013782473460610461,0.0002940521517302841
stat_O1_std,36,12.456433979742918,10.79509209776797,-1.6613418819749475,-4.410043612775715,9.390266436108582e-05,89.0,4.721074947156012e-05,-0.7350072687956274,0.7350072687956274,0.0013998452742717423,0.00043683509568512524
