n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,feature_set,model,n_features,seconds
4266,448,395,632,2791,0.7592592592592593,0.4148148148148148,0.8760200878844947,0.4659386375455018,0.7446583432145264,0.4958216798068856,0.1710944775839883,0.06973180747191805,relative_bandpower_only,gradient_boosting,115,548.12
4266,701,919,379,2267,0.6957337083919363,0.649074074074074,0.7115505335844319,0.5192592592592593,0.7443706261188998,0.4285596405452248,0.22825016553384853,0.18533376565464552,spectral_absolute_bandpower_only,logistic_regression,115,7.96
4266,440,507,640,2679,0.7311298640412565,0.4074074074074074,0.8408662900188324,0.43413912185495807,0.7411962928088164,0.47656153979933924,0.17188789293467627,0.05968899145963406,spectral_absolute_bandpower_only,xgboost,115,28.83
4266,747,976,333,2210,0.6931551804969527,0.6916666666666667,0.6936597614563716,0.5330003567606136,0.7380399781451257,0.4540079591803118,0.2281263427552732,0.20075701290911263,hjorth_only,logistic_regression,63,2.31
4266,675,961,405,2225,0.6797937177684014,0.625,0.6983678593848085,0.49705449189985274,0.7273514333542582,0.45409277597805575,0.23369553860464606,0.1962905391655954,relative_bandpower_only,logistic_regression,115,9.57
4266,172,177,908,3009,0.7456633849038913,0.15925925925925927,0.9444444444444444,0.24072778166550035,0.7250117702448211,0.4126228747311997,0.1705229007136532,0.03006719799968744,relative_bandpower_only,random_forest,115,26.22
4266,225,211,855,2975,0.7501172058134083,0.20833333333333334,0.9337727558066541,0.29683377308707126,0.722794604868522,0.43099742084169274,0.169102610433922,0.02686552586341617,hjorth_only,random_forest,63,20.53
4266,414,454,666,2732,0.7374589779653071,0.38333333333333336,0.8575015693659761,0.42505133470225875,0.7206851154355862,0.44768140833532594,0.17732957419579234,0.07070527257868454,hjorth_only,xgboost,63,14.55
4266,407,492,673,2694,0.726910454758556,0.3768518518518518,0.8455743879472694,0.4113188479029813,0.7205127758015392,0.4232512226836034,0.1866912079091112,0.08991790806881082,time_domain_morphology_only,gradient_boosting,168,740.38
4266,474,574,606,2612,0.7233942803563057,0.4388888888888889,0.8198367859384809,0.44548872180451127,0.7191451024156611,0.41085232954852174,0.19355153328137623,0.10268995598120209,hjorth_only,gradient_boosting,63,279.17
4266,348,441,732,2745,0.7250351617440225,0.32222222222222224,0.8615819209039548,0.3723916532905297,0.7164196368370882,0.44094029230937504,0.18020567095602644,0.06873876652520969,time_domain_morphology_only,xgboost,168,35.43
4266,603,849,477,2337,0.6891701828410689,0.5583333333333333,0.7335216572504708,0.476303317535545,0.7120745274464672,0.4064813180817206,0.22801947963513383,0.18546146913439804,hjorth_only,svm_rbf,63,121.97
4266,606,870,474,2316,0.6849507735583685,0.5611111111111111,0.7269303201506592,0.47417840375586856,0.7109187184673688,0.38601269667429455,0.22438172165262008,0.17575480497524698,time_domain_morphology_only,svm_rbf,168,268.91
4266,604,820,476,2366,0.6962025316455697,0.5592592592592592,0.7426239799121155,0.48242811501597443,0.7094005021971124,0.41217220732467524,0.20471934155775998,0.1460916753947464,regional_hemispheric_summaries_only,svm_rbf,45,129.95
