model,subject_id,n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece
SNWA,Subject21,120,26,21,4,69,0.7916666666666666,0.8666666666666667,0.7666666666666667,0.6753246753246753,0.8922222222222222,0.7316577647914451,0.15531387004838682,0.1896789230513616
SNWA,Subject22,120,24,22,6,68,0.7666666666666667,0.8,0.7555555555555555,0.631578947368421,0.854074074074074,0.6130800072338773,0.17799781931442868,0.2116649157481683
SNWA,Subject23,120,26,17,4,73,0.825,0.8666666666666667,0.8111111111111111,0.7123287671232876,0.917037037037037,0.7779197708550671,0.15107916464368232,0.20259053421745482
SNWA,Subject24,120,26,21,4,69,0.7916666666666666,0.8666666666666667,0.7666666666666667,0.6753246753246753,0.8985185185185185,0.7299489384357214,0.17285321194482067,0.2520147103358097
SNWA,Subject25,120,5,14,25,76,0.675,0.16666666666666666,0.8444444444444444,0.20408163265306123,0.5185185185185186,0.2616002252088413,0.2162300401576647,0.10598443925935117
SNWA,Subject26,120,23,24,7,66,0.7416666666666667,0.7666666666666667,0.7333333333333333,0.5974025974025974,0.8325925925925926,0.543956901762235,0.18348592098178174,0.20493668558123146
SNWA,Subject27,120,30,26,0,64,0.7833333333333333,1.0,0.7111111111111111,0.6976744186046512,0.9385185185185185,0.7692747591305533,0.16510592454326556,0.26081839568989224
SNWA,Subject28,120,30,15,0,75,0.875,1.0,0.8333333333333334,0.8,0.9933333333333334,0.9816039494243517,0.11560874873330666,0.2512673513672403
SNWA,Subject29,120,23,20,7,70,0.775,0.7666666666666667,0.7777777777777778,0.6301369863013698,0.8322222222222222,0.5227359874497916,0.17763987988291494,0.18496140193724991
SNWA,Subject30,120,20,21,10,69,0.7416666666666667,0.6666666666666666,0.7666666666666667,0.5633802816901409,0.7533333333333334,0.46375159016810125,0.19137941905380002,0.19215904519415047
SNWA,Subject31,69,21,8,9,31,0.7536231884057971,0.7,0.7948717948717948,0.711864406779661,0.8017094017094017,0.7841706477848294,0.18039172671932102,0.11183247912787997
SNWA,Subject32,120,21,20,9,70,0.7583333333333333,0.7,0.7777777777777778,0.5915492957746479,0.8674074074074074,0.7475188445421506,0.15105141604290104,0.1845556441369136
SNWA,Subject33,120,30,22,0,68,0.8166666666666667,1.0,0.7555555555555555,0.7317073170731707,0.9955555555555556,0.9840164820569054,0.1354567925929401,0.27544819790534475
SNWA,Subject34,120,27,20,3,70,0.8083333333333333,0.9,0.7777777777777778,0.7012987012987013,0.9151851851851852,0.7335968153251491,0.1501056210841709,0.20449697163894395
SNWA,Subject35,120,19,18,11,72,0.7583333333333333,0.6333333333333333,0.8,0.5671641791044776,0.8296296296296296,0.6826926959140617,0.16225473611937322,0.17799985342358923
