n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,subject_id,feature_set,model
120,8,0,22,90,0.8166666666666667,0.26666666666666666,1.0,0.42105263157894735,0.9540740740740741,0.8840111582339023,0.14181594275674522,0.1361699027940631,Subject00,time_domain_morphology_only,xgboost
120,5,1,25,89,0.7833333333333333,0.16666666666666666,0.9888888888888889,0.2777777777777778,0.957037037037037,0.870676801176145,0.12073809685067527,0.13825860287373268,Subject01,time_domain_morphology_only,xgboost
120,5,75,25,15,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.07666666666666667,0.1469643919693809,0.46798884292095566,0.5291752450168133,Subject02,time_domain_morphology_only,xgboost
120,6,0,24,90,0.8,0.2,1.0,0.3333333333333333,0.6251851851851852,0.5222196384295612,0.1690620968325421,0.08646113201975823,Subject03,time_domain_morphology_only,xgboost
114,0,1,30,83,0.7280701754385965,0.0,0.9880952380952381,0.0,0.4138888888888889,0.23634688627954104,0.216778111016918,0.156008517206238,Subject04,time_domain_morphology_only,xgboost
120,3,5,27,85,0.7333333333333333,0.1,0.9444444444444444,0.15789473684210525,0.6366666666666666,0.3508195818288893,0.18466119910421533,0.06402204483747484,Subject05,time_domain_morphology_only,xgboost
120,2,1,28,89,0.7583333333333333,0.06666666666666667,0.9888888888888889,0.12121212121212122,0.6411111111111112,0.4128133763606122,0.17727865950543686,0.07284586050858098,Subject06,time_domain_morphology_only,xgboost
120,3,1,27,89,0.7666666666666667,0.1,0.9888888888888889,0.17647058823529413,0.855925925925926,0.6560291660761106,0.14358022379218965,0.09177342203135291,Subject07,time_domain_morphology_only,xgboost
120,11,15,19,75,0.7166666666666667,0.36666666666666664,0.8333333333333334,0.39285714285714285,0.7611111111111111,0.4546792830102194,0.1740331279478921,0.12155218751480182,Subject08,time_domain_morphology_only,xgboost
120,1,0,29,90,0.7583333333333333,0.03333333333333333,1.0,0.06451612903225806,0.8759259259259259,0.7838338125460635,0.18668760822196712,0.1813394624351834,Subject09,time_domain_morphology_only,xgboost
123,6,20,24,73,0.6422764227642277,0.2,0.7849462365591398,0.21428571428571427,0.4494623655913978,0.22163011768453728,0.24165460821101672,0.16831171830616348,Subject10,time_domain_morphology_only,xgboost
120,10,26,20,64,0.6166666666666667,0.3333333333333333,0.7111111111111111,0.30303030303030304,0.5451851851851852,0.3066928842648131,0.24832476419398838,0.17692189486697318,Subject11,time_domain_morphology_only,xgboost
120,0,5,30,85,0.7083333333333334,0.0,0.9444444444444444,0.0,0.37,0.19488256555733424,0.2434802733200714,0.2547455943344781,Subject12,time_domain_morphology_only,xgboost
120,30,60,0,30,0.5,1.0,0.3333333333333333,0.5,0.961851851851852,0.8586248507339679,0.2686600511519053,0.38921351271371046,Subject13,time_domain_morphology_only,xgboost
120,27,74,3,16,0.35833333333333334,0.9,0.17777777777777778,0.4122137404580153,0.7107407407407408,0.5003787255714304,0.31652578886426863,0.3834827995548646,Subject14,time_domain_morphology_only,xgboost
120,0,0,30,90,0.75,0.0,1.0,0.0,0.6337037037037037,0.332188185926908,0.19066044826575088,0.10656744629765551,Subject15,time_domain_morphology_only,xgboost
120,0,9,30,81,0.675,0.0,0.9,0.0,0.4248148148148148,0.2096656911623004,0.24554361288425863,0.2883911706817647,Subject16,time_domain_morphology_only,xgboost
120,28,6,2,84,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.875,0.9740740740740741,0.9296160663307318,0.08884226098957243,0.1790312514950832,Subject17,time_domain_morphology_only,xgboost
120,7,0,23,90,0.8083333333333333,0.23333333333333334,1.0,0.3783783783783784,0.9414814814814815,0.856822634222703,0.11832100068485336,0.14713774013022582,Subject18,time_domain_morphology_only,xgboost
120,1,1,29,89,0.75,0.03333333333333333,0.9888888888888889,0.0625,0.8766666666666667,0.578879260766278,0.16116623723971568,0.18943237150087955,Subject19,time_domain_morphology_only,xgboost
120,20,0,10,90,0.9166666666666666,0.6666666666666666,1.0,0.8,0.9977777777777778,0.9938446969696969,0.06835166675546403,0.13228083866027493,Subject20,time_domain_morphology_only,xgboost
120,26,34,4,56,0.6833333333333333,0.8666666666666667,0.6222222222222222,0.5777777777777777,0.8529629629629629,0.7446363605104256,0.1937448130564034,0.2614596990558009,Subject21,time_domain_morphology_only,xgboost
120,15,0,15,90,0.875,0.5,1.0,0.6666666666666666,0.9977777777777778,0.9935186843807533,0.07555356508112385,0.14751265846813713,Subject22,time_domain_morphology_only,xgboost
120,7,0,23,90,0.8083333333333333,0.23333333333333334,1.0,0.3783783783783784,0.8492592592592593,0.7620933914448904,0.14095177775116569,0.14577724824969968,Subject23,time_domain_morphology_only,xgboost
120,16,6,14,84,0.8333333333333334,0.5333333333333333,0.9333333333333333,0.6153846153846154,0.8448148148148149,0.7012315686324162,0.1276349855435702,0.11013613065394263,Subject24,time_domain_morphology_only,xgboost
120,1,0,29,90,0.7583333333333333,0.03333333333333333,1.0,0.06451612903225806,0.822962962962963,0.687130365093138,0.1765981794241742,0.13611125713214278,Subject25,time_domain_morphology_only,xgboost
120,15,1,15,89,0.8666666666666667,0.5,0.9888888888888889,0.6521739130434783,0.9618518518518517,0.868251247864307,0.09503473087870914,0.15132474987767636,Subject26,time_domain_morphology_only,xgboost
120,27,67,3,23,0.4166666666666667,0.9,0.25555555555555554,0.43548387096774194,0.6411111111111112,0.34443458915033787,0.29805498279183157,0.34387521694103873,Subject27,time_domain_morphology_only,xgboost
