feature,mutual_information
hjorth_C4_activity,0.014594606383785624
stat_C4_var,0.014594606383785624
band_rel_Fz_alpha,0.014591156711801556
corr_F4_ECGECG,0.014590648494937408
band_rel_Fp2_beta,0.014554174285910326
corr_T4_T6,0.014518505010876481
ratio_T5_beta_alpha,0.014494822465900725
band_abs_Fz_beta,0.014467311097938751
spectral_T5_entropy,0.014379646821359504
band_abs_F8_delta,0.014351176183963643
corr_O1_Pz,0.014312906109685164
corr_F3_F8,0.01420452694809371
ratio_C4_theta_alpha,0.014185083314176561
band_rel_T6_delta,0.014142185247439265
hjorth_F8_activity,0.014110377533433693
stat_F8_var,0.014110377533433693
corr_Fp1_T4,0.01407766873013494
corr_Fp1_P3,0.014062704277270743
stat_F8_std,0.01405294032030402
corr_F8_C4,0.013961894842580369
ratio_Cz_theta_alpha,0.013868410987773805
corr_T6_A2A1,0.013848838068569735
region_other_band_rel_mean_delta,0.013773383271939776
band_rel_Fp2_delta,0.013726832880131212
stat_P3_rms,0.013536174736320072
band_rel_Cz_delta,0.013518228945971655
band_rel_C3_alpha,0.013506301926729858
region_other_band_rel_mean_theta,0.013500623943982548
band_abs_Cz_beta,0.013470672363111946
ratio_F8_beta_alpha,0.013465623498374768
band_abs_T4_alpha,0.013446002499877485
stat_Fp2_shannon_entropy,0.0134238392068331
stat_P3_skew,0.013356422167269955
stat_A2A1_var,0.013355307533318594
hjorth_A2A1_activity,0.013355307533318594
stat_A2A1_std,0.01334669783517306
corr_F3_F7,0.013141731497748443
corr_F4_P3,0.013107769213373421
corr_Cz_Pz,0.013062833803228147
hjorth_P4_mobility,0.013018694361332184
band_abs_F4_delta,0.012969783233963694
band_rel_C3_beta,0.01292646023783628
stat_F7_shannon_entropy,0.012905841678220176
band_rel_O1_delta,0.012904612048057595
corr_C4_T6,0.012843951192134773
ratio_T4_theta_beta,0.012828053761378744
stat_Fp2_kurtosis,0.012773365817758009
corr_F4_P4,0.012588827936716562
band_rel_Fz_gamma,0.012388106005572164
corr_F4_T3,0.012278331686353283
corr_C3_T6,0.012273147586107536
corr_Fp1_Fp2,0.012267827639217632
corr_F7_Pz,0.01225131061849849
spectral_O2_entropy,0.01223662595371433
stat_O2_kurtosis,0.012232883925533011
corr_T3_ECGECG,0.012050542251294871
region_other_band_rel_mean_alpha,0.011963890585056314
hjorth_T5_complexity,0.011939068844339262
corr_C3_O2,0.011925978230889367
global_band_rel_std_alpha,0.0117384618223344
band_rel_Fz_beta,0.01173398719844565
stat_F7_mean,0.011717975574252693
hemisphere_left_band_rel_mean_beta,0.011694117553419536
stat_Fp1_mean,0.011674408059477503
stat_Fp2_mean,0.011644743172696037
corr_C4_ECGECG,0.011627297927065072
ratio_F7_beta_alpha,0.011566783928718571
corr_T4_P4,0.011521635360848492
corr_F8_T5,0.011414251940447206
corr_T6_P4,0.011402055556011037
stat_T5_kurtosis,0.011394461069980766
corr_F4_O2,0.011387059976756486
band_abs_O1_beta,0.011327768952961836
corr_Fp2_Fz,0.011313889074332284
band_rel_T4_delta,0.011307035140096566
hjorth_C3_complexity,0.011126748642509066
hjorth_T6_complexity,0.011109027680640482
ratio_P3_theta_beta,0.011095223910764673
region_occipital_band_rel_mean_theta,0.01108654963233846
stat_T4_var,0.011078944728992957
hjorth_T4_activity,0.011078944728992957
band_abs_Cz_theta,0.011066419780954684
corr_T3_O2,0.010993174862024224
band_abs_T6_delta,0.010945603030735551
band_abs_F7_delta,0.010922342556905829
corr_F7_A2A1,0.0109209721357999
stat_T4_std,0.010877645672025205
band_rel_O2_theta,0.010861579837227575
corr_F4_T5,0.010821563573634174
corr_F3_T4,0.010774873790257988
region_central_band_rel_mean_delta,0.010763306511594184
corr_Fp1_ECGECG,0.01074249630985058
corr_Fp2_F3,0.010722815588655177
ratio_F4_theta_beta,0.010716291323152438
corr_F7_P3,0.010671536588983344
band_rel_P3_beta,0.010616096034871347
corr_T6_ECGECG,0.01055493015922937
connectivity_left_right_corr_abs_mean,0.0105139350312764
corr_T4_ECGECG,0.010485725545208435
band_abs_C3_theta,0.010422183899752913
band_abs_P4_beta,0.01031872092860664
band_rel_C3_gamma,0.010318397876923013
stat_Pz_mean,0.01022264665934336
hjorth_F8_mobility,0.010102878265971116
corr_Fp1_C4,0.010009735414280296
region_frontal_band_rel_mean_gamma,0.009976653305970862
corr_T3_C3,0.00996046957840968
corr_Pz_ECGECG,0.009959315331815377
corr_C4_O1,0.009951554911070248
corr_C4_T5,0.009936209274786112
band_abs_T3_delta,0.009894889807016805
band_rel_P4_theta,0.009893370979306315
corr_C3_A2A1,0.009892221400431556
band_rel_T3_delta,0.009876947904344568
band_abs_P3_beta,0.009854379369066857
corr_C4_Pz,0.009685351137766807
band_abs_O2_delta,0.009614636784495811
corr_O2_A2A1,0.009586998116460466
corr_F3_O1,0.009566512691730367
corr_F4_F7,0.009563591408840333
corr_Fp2_T4,0.009502125580915122
band_abs_Pz_delta,0.009477395596618754
corr_C4_A2A1,0.009460617071313626
corr_Fp1_O1,0.009344017857591647
hjorth_O2_complexity,0.009318826178499329
hjorth_T3_complexity,0.00931411476913624
corr_F8_ECGECG,0.00930235582509975
hjorth_T4_complexity,0.009207154867822975
ratio_F3_theta_beta,0.009138885434884392
corr_Cz_ECGECG,0.009137980542100133
global_band_abs_mean_delta,0.00913362151321162
ratio_O2_theta_beta,0.00912002646234833
ratio_F4_beta_alpha,0.00907400522887003
hjorth_C3_mobility,0.008986435960530947
ratio_P3_theta_alpha,0.008894209703859568
band_abs_A2A1_theta,0.008856889991673444
ratio_T6_theta_alpha,0.00882167318308591
corr_Fp2_T5,0.008795680590817812
hjorth_F7_mobility,0.008763862504583164
band_rel_A2A1_alpha,0.008759653486392294
stat_T6_skew,0.008747665753474188
stat_Fz_rms,0.008714223583139002
ratio_A2A1_theta_beta,0.008711668617937818
stat_P4_skew,0.008661022353731784
band_rel_C4_delta,0.008655351842567383
corr_T4_O2,0.008655245527231736
corr_T3_Cz,0.008609183504135087
corr_Fp1_C3,0.008591809034784514
band_rel_T6_theta,0.008591616168967642
band_rel_C4_alpha,0.008565337888295055
band_rel_F7_beta,0.008529764543070861
band_abs_A2A1_alpha,0.008428297911536209
band_rel_F4_delta,0.008423265605358221
corr_Fp2_T6,0.008422685917647721
band_rel_F3_theta,0.008387834026126972
region_frontal_band_rel_mean_beta,0.008334241450791646
band_rel_T4_beta,0.00831413360732225
band_abs_T5_delta,0.008270080254430212
band_abs_T3_theta,0.008212209386572411
band_rel_T3_theta,0.008208753832693372
stat_F3_kurtosis,0.008197915772489184
corr_T5_P4,0.00817146972161753
hemisphere_right_band_rel_mean_beta,0.008170136080354995
band_abs_T4_delta,0.008077153474886467
corr_Fp1_O2,0.008043814204459432
connectivity_corr_mean,0.00803724640748782
corr_F3_P4,0.008005438541424326
corr_F3_A2A1,0.0079347861807737
stat_Fp2_skew,0.00792755527255351
corr_O2_Pz,0.007832867255554321
band_abs_F7_beta,0.007733974888324724
band_rel_F3_beta,0.007727661425533494
ratio_A2A1_beta_alpha,0.007726189874868172
ratio_P4_theta_alpha,0.007721195057709185
band_abs_C4_theta,0.0077211068963085605
stat_A2A1_kurtosis,0.007689043227744996
band_abs_P4_theta,0.0076862524215814965
corr_T3_Pz,0.007642154865367123
hemisphere_right_band_rel_mean_theta,0.007638476302020081
corr_T3_P3,0.007636248368377174
band_abs_O2_theta,0.007572326102263993
ratio_C3_beta_alpha,0.007530555613384227
band_rel_F8_theta,0.007524938034260575
stat_F4_std,0.007495195733564053
hjorth_F4_activity,0.007451782963943776
stat_F4_var,0.007451782963943776
corr_F3_C3,0.007434938345834308
corr_Fp2_Pz,0.007257317696446108
hjorth_Fp2_complexity,0.0072471091683128375
spectral_T3_entropy,0.007244916788351263
spectral_T6_entropy,0.0071906031160449135
corr_F4_Fz,0.007096490472645378
corr_T4_T5,0.00703538200630649
band_abs_Fz_gamma,0.006911324382724349
stat_Pz_kurtosis,0.006890492727791742
corr_F3_T3,0.00680350836510879
band_abs_P3_theta,0.006796717753329018
corr_F7_T3,0.00676994649019691
stat_P4_shannon_entropy,0.006754760977119023
corr_F7_O1,0.006712589279473935
band_abs_F8_beta,0.0066426643704660115
corr_T5_Fz,0.006626657199518826
corr_Fp1_P4,0.006618032837516941
stat_F3_skew,0.006608163117967525
spectral_O1_entropy,0.0066049482340821974
corr_T5_P3,0.006590568930529006
corr_P4_O1,0.006549421484299378
stat_Fz_skew,0.006512236334255794
corr_F3_T5,0.006470103961343954
stat_Fz_std,0.00641370100289862
stat_Fz_var,0.006405634139565297
hjorth_Fz_activity,0.006405634139565297
stat_T6_rms,0.006395155636986782
ratio_Fp1_beta_alpha,0.00635189300917105
ratio_C4_beta_alpha,0.006350381911264691
hjorth_C4_complexity,0.006348004080306779
stat_A2A1_shannon_entropy,0.006338479158118915
stat_C4_skew,0.006257188340958564
stat_Fp1_skew,0.0061664686827962445
band_abs_T4_theta,0.006134130104257451
stat_Fp1_shannon_entropy,0.006108233591206824
corr_T3_T4,0.006042931363250181
stat_O1_kurtosis,0.0060145640970588055
band_abs_C4_delta,0.005988776044152377
corr_F4_Cz,0.0059245105250975705
band_rel_Fp2_theta,0.005903027286274121
stat_O1_shannon_entropy,0.005866308689275179
stat_F4_mean,0.005853929210751119
corr_Fp2_O2,0.00584037975480145
corr_O2_Fz,0.005789893654861933
band_rel_Fp2_gamma,0.005715207273844669
corr_P4_Fz,0.0057004144421910485
corr_T3_C4,0.0056480833321943535
band_rel_F4_theta,0.00562747626520399
stat_Cz_skew,0.005618270064065234
stat_C4_rms,0.005568962031892388
band_abs_P4_delta,0.005488661841868803
corr_T4_Pz,0.005488387098921965
spectral_C4_entropy,0.005465759780879376
ratio_T3_beta_alpha,0.00545654549272534
band_rel_T3_alpha,0.005345890826893962
stat_T6_std,0.005294673087629542
hjorth_T6_activity,0.005261056790607954
stat_T6_var,0.005261056790607954
hjorth_Pz_mobility,0.005223942743928012
band_abs_F4_gamma,0.005162990241919019
ratio_ECGECG_theta_alpha,0.005152001011460738
band_rel_O1_theta,0.005103950858678985
band_abs_T5_beta,0.0050859089267103474
spectral_Cz_entropy,0.005050406787384887
ratio_T3_theta_alpha,0.005030333388878594
band_abs_T5_theta,0.004945289000431563
corr_F8_T3,0.004930565981472013
band_abs_Fz_theta,0.00489916123680767
region_parietal_band_rel_mean_theta,0.004886717899457604
stat_C4_shannon_entropy,0.004845357434723141
corr_F3_F4,0.004837579165341888
stat_T3_shannon_entropy,0.004798183740302164
corr_F4_C4,0.00475228837405095
ratio_C3_theta_beta,0.004730298490430052
stat_F7_skew,0.004685852577887006
band_abs_F4_theta,0.004646503410733027
hjorth_P3_mobility,0.004571574147599566
ratio_T6_theta_beta,0.004568745389726292
corr_O2_Cz,0.00455796690375565
corr_T6_P3,0.004350555443703552
corr_T6_Cz,0.00433489821227262
band_abs_Fz_delta,0.004310025844437959
global_band_rel_mean_theta,0.004235286585259068
corr_Fp2_C3,0.004199591627407351
corr_T5_O1,0.004196109511679147
corr_F8_O2,0.00417436656611847
band_abs_F7_theta,0.004140782842215307
band_rel_F8_gamma,0.004120035255787968
stat_T5_rms,0.004081438672594473
band_rel_Cz_theta,0.004067678584698031
spectral_T4_entropy,0.004063344849297934
hemisphere_midline_band_rel_mean_beta,0.004040328499992585
band_abs_P4_gamma,0.00402057291233171
stat_F8_rms,0.003956018710108866
stat_F4_kurtosis,0.003917006784814214
corr_Fp1_T3,0.003901679685833326
stat_F4_rms,0.0038929472690547584
region_temporal_band_rel_mean_beta,0.0038126993808935694
band_rel_Pz_beta,0.0037638019067136597
stat_F4_shannon_entropy,0.0037456275490745927
corr_T5_O2,0.003620440764952493
band_abs_Fp2_alpha,0.0035970467107782067
band_abs_Cz_delta,0.0035223470324277084
corr_P3_Cz,0.003447660155525778
corr_F3_Cz,0.003440659851150274
corr_T3_T5,0.003410093347359311
stat_T3_kurtosis,0.0033915088489775425
stat_Fz_shannon_entropy,0.003293871325714459
corr_O1_A2A1,0.003262208075627049
corr_Fp2_F4,0.003204190078009983
band_abs_T4_beta,0.0032036005701845394
band_abs_F8_alpha,0.003160191279283131
corr_T5_T6,0.0031242184209423485
stat_T4_shannon_entropy,0.0031093557878236755
hemisphere_left_band_rel_mean_theta,0.003005001911163818
corr_C3_T5,0.002958465028295665
band_rel_P3_theta,0.002922320919254373
stat_O2_mean,0.002921994102687897
stat_C3_kurtosis,0.00286711809986806
band_rel_T4_theta,0.0028116573013494683
stat_T4_rms,0.0027896770998250275
corr_T3_O1,0.002724181322449004
corr_C4_P3,0.002711496686122805
band_rel_Pz_theta,0.002704348358574027
band_abs_C3_gamma,0.0026836881122316303
band_abs_F8_theta,0.0026758034354139593
band_abs_Fp1_alpha,0.0026036980204058313
corr_F8_Pz,0.002592013694907136
spectral_Fp1_entropy,0.002567584584641569
connectivity_corr_abs_mean,0.0025300278322655245
ratio_P4_theta_beta,0.0024887269466584705
band_abs_A2A1_delta,0.0024851685067319718
stat_T5_shannon_entropy,0.002456432563565647
corr_T3_A2A1,0.002375158052541959
corr_Fp2_C4,0.0023477934998705763
corr_C4_Fz,0.0023413315156326497
corr_Fp2_T3,0.002340179839319667
ratio_F7_theta_beta,0.0023311290760912318
corr_O1_ECGECG,0.00233072086473074
ratio_Fz_beta_alpha,0.002314806792727886
band_abs_O1_gamma,0.002202040662475424
stat_Cz_mean,0.0021787803817625573
stat_P3_shannon_entropy,0.002119808581438898
corr_T4_Fz,0.0020934235728360395
corr_F4_C3,0.002022215269515959
band_abs_T6_beta,0.002005711488403117
corr_O1_O2,0.0019282058193907936
stat_T5_var,0.0019102436319258231
hjorth_T5_activity,0.0019102436319258231
band_rel_T3_beta,0.0018113921790889886
stat_P3_mean,0.0017963958718152373
spectral_F8_entropy,0.0017596459788591368
stat_T5_std,0.0017558759881011188
corr_F3_Fz,0.0017529445076616135
corr_O2_ECGECG,0.0017024445610163141
